NIPostcode
BT93 8AD
BT29 4AA
BT29 4AD
BT29 4AE
BT81 7WB
BT81 7XA
BT62 1NL
BT62 1NN
BT62 1NP
BT66 6RR
BT66 6RS
BT66 6RU
BT13 1AA
BT14 6AA
BT15 1AA
BT80 0AA
BT52 1AA
BT60 1AA
BT18 0AA
